title,author_name,publish_year,link
"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1824,https://www.gutenberg.org/cache/epub/84/pg84.txt
Pride and Prejudice,"Austen, Jane",1796,https://www.gutenberg.org/cache/epub/1342/pg1342.txt
"Moby Dick; Or, The Whale","Melville, Herman",1855,https://www.gutenberg.org/cache/epub/2701/pg2701.txt
Romeo and Juliet,"Shakespeare, William",1590,https://www.gutenberg.org/cache/epub/1513/pg1513.txt
Middlemarch,"Eliot, George",1849,https://www.gutenberg.org/cache/epub/145/pg145.txt
"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1860,https://www.gutenberg.org/cache/epub/37106/pg37106.txt
The Complete Works of William Shakespeare,"Shakespeare, William",1590,https://www.gutenberg.org/cache/epub/100/pg100.txt
A Room with a View,"Forster, E. M. (Edward Morgan)",1924,https://www.gutenberg.org/cache/epub/2641/pg2641.txt
The Enchanted April,"Von Arnim, Elizabeth",1903,https://www.gutenberg.org/cache/epub/16389/pg16389.txt
The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",1908,https://www.gutenberg.org/cache/epub/67979/pg67979.txt
The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",1746,https://www.gutenberg.org/cache/epub/6761/pg6761.txt
Cranford,"Gaskell, Elizabeth Cleghorn",1837,https://www.gutenberg.org/cache/epub/394/pg394.txt
The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",1746,https://www.gutenberg.org/cache/epub/2160/pg2160.txt
The Adventures of Roderick Random,"Smollett, T. (Tobias)",1746,https://www.gutenberg.org/cache/epub/4085/pg4085.txt
"History of Tom Jones, a Foundling","Fielding, Henry",1730,https://www.gutenberg.org/cache/epub/6593/pg6593.txt
The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",1918,https://www.gutenberg.org/cache/epub/64317/pg64317.txt
Twenty years after,"Dumas, Alexandre",1836,https://www.gutenberg.org/cache/epub/1259/pg1259.txt
My Life — Volume 1,"Wagner, Richard",1848,https://www.gutenberg.org/cache/epub/5197/pg5197.txt
Alice's Adventures in Wonderland,"Carroll, Lewis",1865,https://www.gutenberg.org/cache/epub/11/pg11.txt
A Doll's House : a play,"Ibsen, Henrik",1867,https://www.gutenberg.org/cache/epub/2542/pg2542.txt
The Picture of Dorian Gray,"Wilde, Oscar",1877,https://www.gutenberg.org/cache/epub/174/pg174.txt
The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1877,https://www.gutenberg.org/cache/epub/844/pg844.txt
Metamorphosis,"Kafka, Franz",1903,https://www.gutenberg.org/cache/epub/5200/pg5200.txt
The Yellow Wallpaper,"Gilman, Charlotte Perkins",1897,https://www.gutenberg.org/cache/epub/1952/pg1952.txt
Crime and Punishment,"Dostoyevsky, Fyodor",1851,https://www.gutenberg.org/cache/epub/2554/pg2554.txt
A Tale of Two Cities,"Dickens, Charles",1841,https://www.gutenberg.org/cache/epub/98/pg98.txt
The Homing Pigeon,United States. War Department,,https://www.gutenberg.org/cache/epub/55084/pg55084.txt
Dracula,"Stoker, Bram",1879,https://www.gutenberg.org/cache/epub/345/pg345.txt
"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1706,https://www.gutenberg.org/cache/epub/1080/pg1080.txt
Great Expectations,"Dickens, Charles",1841,https://www.gutenberg.org/cache/epub/1400/pg1400.txt
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1872,https://www.gutenberg.org/cache/epub/43/pg43.txt
Jane Eyre: An Autobiography,"Brontë, Charlotte",1835,https://www.gutenberg.org/cache/epub/1260/pg1260.txt
